name,lat,lon
cfirmiano, 46.493382, 11.310146
Viale Druso, 46.495072, 11.338878
Druso mobile, 46.495072, 11.338878
Uscita galleria virgolo, 46.492471, 11.356604
Laives North, 46.430677, 11.345444
Laives South, 46.412398, 11.329876
ponte resia, 46.481331, 11.323833
resiadruso, 46.494042, 11.314341
Via Rosmini, 46.499077, 11.347846
Vittorio veneto, 46.502537, 11.330587
A22_ML103, 46.32098, 11.26693
A22_ML107, 46.28884, 11.23751
Agip_Einstein, 46.47129, 11.31655
Arginale_Palermo, 46.48662, 11.3345
Arginale_Resia, 46.48257, 11.32538
Buozzi_Fiera, 46.47369, 11.32581
caugusta, 46.48252, 11.34236
cavour, 46.66844, 11.16729
corse_cappuccini, 46.67385, 11.15939
Druso_Palermo, 46.49508, 11.33269
druso-poste, 46.49511, 11.33965
galilei, 46.67362, 11.1613
Galilei_Lancia, 46.48615, 11.33707
Galilei_Palermo, 46.48501, 11.3326
Galilei_Roma, 46.48697, 11.34355
Galilei_Virgolo, 46.48699, 11.34142
Galleria_Virgolo, 46.49203, 11.35919
galvani, 46.47405, 11.33168
goethe-alpini, 46.6748, 11.15578
goethe_ospedale, 46.67679, 11.1488
hofer, 46.67512, 11.15241
huber, 46.67285, 11.15655
liberta-corse, 46.67063, 11.15941
Maso_Pieve, 46.47574, 11.33751
mazzini, 46.67105, 11.15261
meinstein, 46.46834, 11.32819
Milano_Palermo, 46.48955, 11.33175
Milano_Resia, 46.48972, 11.31705
P_Campiglio, 46.49248, 11.37137
petrarca, 46.66672, 11.15639
piave_matteotti, 46.66425, 11.15903
piave-palade, 46.66167, 11.16018
ponte_rezia, 46.66851, 11.15313
proma, 46.49034, 11.34202
Roma_Firenze, 46.49226, 11.34129
roma_nord, 46.66755, 11.1627
roma_sud, 46.65691, 11.1678
scena-leichter, 46.66955, 11.17816
schaffer-winkel, 46.66577, 11.17013
siemens, 46.48242, 11.33051
sinigo, 46.64202, 11.17759
stazione, 46.67327, 11.15009
terme_est, 46.66929, 11.16426
terme_ovest, 46.66948, 11.15959
TN-Acquaviva, 45.9735, 11.1133
TN-Cadino, 46.2103, 11.1519
TN-Maccani, 46.085, 11.1093
TN-Nord, 46.1331, 11.082
TN-Sud, 46.0391, 11.1215
Torricelli, 46.47806, 11.32402
wolf, 46.67445, 11.15919
wolf-franziskus, 46.67795, 11.15587
zuegg-palade, 46.65885, 11.14589
raspberrypi,,
rpi01,,
test @tis,,
thales,,
Via_Galilei_Virgolo,,
Vienna,,
rpi02,,